统计区间: 2007-01-27 ~ 2017-01-24
名称, 当前估值, 5年百分位%, 10年分位点%, 最小估值, 10%, 20%, 30%, 40%, 50%, 60%, 70%, 80%, 90%, 最大估值, 数据个数
上证50, 10.62, 85.31, 45.86, 7.02, 7.78, 9.00, 9.44, 10.18, 10.93, 12.73, 14.24, 21.45, 33.25, 46.45, 120
上证50, 13.32, 83.62, 50.35, 9.63, 10.18, 10.90, 11.39, 12.35, 13.25, 15.31, 17.39, 24.07, 33.52, 47.33, 120
红利指数, 7.76, 39.93, 19.88, 5.80, 6.71, 7.77, 8.21, 8.70, 9.67, 10.52, 15.21, 20.14, 26.89, 44.20, 120
红利指数, 11.28, 46.25, 26.00, 8.51, 9.59, 10.63, 11.72, 12.31, 13.65, 15.45, 17.71, 24.97, 30.91, 39.00, 120
中证红利, 9.39, 82.96, 46.39, 6.09, 6.67, 8.21, 8.59, 9.04, 9.59, 10.13, 11.76, 12.91, 19.70, 80.09, 104
中证红利, 13.80, 44.84, 34.40, 8.78, 11.67, 12.93, 13.51, 14.16, 15.10, 16.03, 17.86, 20.22, 23.95, 33.72, 104
基本面50, 9.77, 89.31, 60.02, 6.14, 6.60, 7.94, 8.61, 9.04, 9.42, 9.76, 11.59, 13.21, 22.48, 29.76, 95
基本面50, 11.42, 85.10, 58.29, 7.16, 7.71, 8.51, 9.85, 10.50, 10.88, 11.54, 14.05, 15.30, 21.77, 29.97, 95
沪深300, 13.31, 84.60, 50.10, 8.10, 9.04, 10.44, 11.31, 12.21, 13.29, 15.08, 16.71, 25.50, 35.73, 47.20, 120
沪深300, 21.57, 81.76, 56.90, 11.19, 14.96, 15.83, 17.20, 18.74, 20.77, 21.93, 24.67, 31.01, 37.95, 53.65, 120
中证500, 46.80, 77.42, 64.53, 17.23, 27.00, 29.08, 30.98, 34.86, 40.18, 45.20, 48.72, 64.21, 77.07, 96.54, 120
中证500, 37.05, 78.64, 58.80, 15.47, 22.88, 24.59, 25.89, 30.09, 34.62, 37.38, 39.08, 43.98, 52.08, 64.12, 120
创业板指, 40.96, 23.70, 19.23, 29.44, 35.12, 41.45, 46.28, 50.92, 53.85, 56.65, 61.14, 64.40, 72.20, 123.17, 79
创业板指, 49.49, 36.89, 37.56, 27.29, 33.76, 38.69, 45.95, 50.64, 54.06, 57.82, 59.83, 62.24, 70.88, 111.60, 79
中证消费, 25.24, 57.77, 38.17, 17.29, 18.39, 20.00, 23.35, 25.66, 26.78, 29.29, 34.77, 40.27, 46.55, 51.65, 90
中证消费, 27.50, 39.44, 24.53, 22.56, 23.88, 26.43, 28.79, 30.97, 32.43, 34.60, 43.27, 48.47, 55.46, 64.87, 90
统计区间: 2007-01-27 ~ 2017-01-24

HSI, 11.30, 77.41, 42.90, 7.61, 24.26, 132
HSCEI, 7.65, 29.09, 12.78, 5.80, 36.17, 132
